issue,files-changed,y-value
Support byte[] in @HollowPrimaryKey for ObjectInternPool in HollowHistoryUI,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/HollowExplorerUIServer.java,0
Support byte[] in @HollowPrimaryKey for ObjectInternPool in HollowHistoryUI,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/HollowExplorerUI.java,0
Support byte[] in @HollowPrimaryKey for ObjectInternPool in HollowHistoryUI,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/jetty/HollowExplorerUIServer.java,0
Support byte[] in @HollowPrimaryKey for ObjectInternPool in HollowHistoryUI,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/pages/QueryPage.java,0
Support byte[] in @HollowPrimaryKey for ObjectInternPool in HollowHistoryUI,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/pages/BrowseSchemaPage.java,0
Support byte[] in @HollowPrimaryKey for ObjectInternPool in HollowHistoryUI,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/pages/BrowseSelectedTypePage.java,0
Support byte[] in @HollowPrimaryKey for ObjectInternPool in HollowHistoryUI,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/pages/ShowAllTypesPage.java,0
Support byte[] in @HollowPrimaryKey for ObjectInternPool in HollowHistoryUI,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/pages/HollowExplorerPage.java,0
Support byte[] in @HollowPrimaryKey for ObjectInternPool in HollowHistoryUI,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/model/QueryResult.java,0
Support byte[] in @HollowPrimaryKey for ObjectInternPool in HollowHistoryUI,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/model/TypeKey.java,0
Support byte[] in @HollowPrimaryKey for ObjectInternPool in HollowHistoryUI,hollow-master/hollow/src/main/java/com/netflix/hollow/tools/util/ObjectInternPool.java,1
Support byte[] in @HollowPrimaryKey for ObjectInternPool in HollowHistoryUI,hollow-master/hollow/src/main/java/com/netflix/hollow/tools/util/SearchUtils.java,1
Support byte[] in @HollowPrimaryKey for ObjectInternPool in HollowHistoryUI,hollow-master/hollow/src/main/java/com/netflix/hollow/tools/diff/HollowDiff.java,1
Support byte[] in @HollowPrimaryKey for ObjectInternPool in HollowHistoryUI,hollow-master/hollow/src/test/java/com/netflix/hollow/tools/util/ObjectInternPoolTest.java,1
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/HollowExplorerUIServer.java,0
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/HollowExplorerUI.java,0
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/jetty/HollowExplorerUIServer.java,0
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/pages/QueryPage.java,0
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/pages/BrowseSchemaPage.java,0
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/pages/BrowseSelectedTypePage.java,0
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/pages/ShowAllTypesPage.java,0
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/pages/HollowExplorerPage.java,0
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/model/QueryResult.java,0
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/model/TypeKey.java,0
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow/src/main/java/com/netflix/hollow/api/producer/HollowProducer.java,1
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow/src/main/java/com/netflix/hollow/api/producer/AbstractHollowProducer.java,1
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow/src/main/java/com/netflix/hollow/api/producer/metrics/AnnouncementMetrics.java,1
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow/src/main/java/com/netflix/hollow/api/producer/metrics/AbstractProducerMetricsListener.java,1
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow/src/main/java/com/netflix/hollow/core/HollowStateEngine.java,1
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow/src/main/java/com/netflix/hollow/core/write/HollowWriteStateEngine.java,1
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow/src/main/java/com/netflix/hollow/core/write/HollowObjectTypeWriteState.java,1
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow/src/main/java/com/netflix/hollow/core/write/HollowBlobWriter.java,1
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow/src/main/java/com/netflix/hollow/core/write/HollowTypeWriteState.java,1
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow/src/main/java/com/netflix/hollow/core/write/objectmapper/HollowObjectTypeMapper.java,1
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow/src/main/java/com/netflix/hollow/core/read/engine/HollowTypeReadState.java,1
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow/src/main/java/com/netflix/hollow/core/read/engine/HollowReadStateEngine.java,1
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerIncrementalTest.java,1
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerTest.java,1
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow/src/test/java/com/netflix/hollow/api/producer/HollowIncrementalProducerTest.java,1
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow/src/test/java/com/netflix/hollow/core/write/HollowWriteStateEngineTest.java,1
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow/src/test/java/com/netflix/hollow/core/write/HollowObjectTypeWriteStateTest.java,1
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow/src/test/java/com/netflix/hollow/core/util/HollowWriteStateCreatorTest.java,1
HollowObjectTypeDataElements utilities for splitting and joining,hollow-master/hollow/src/test/java/com/netflix/hollow/core/read/engine/object/HollowObjectTypeDataElementsJoinerTest.java,1
Consumer delta application supports re-sharding for Object type,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/HollowExplorerUIServer.java,0
Consumer delta application supports re-sharding for Object type,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/HollowExplorerUI.java,0
Consumer delta application supports re-sharding for Object type,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/jetty/HollowExplorerUIServer.java,0
Consumer delta application supports re-sharding for Object type,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/pages/QueryPage.java,0
Consumer delta application supports re-sharding for Object type,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/pages/BrowseSchemaPage.java,0
Consumer delta application supports re-sharding for Object type,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/pages/BrowseSelectedTypePage.java,0
Consumer delta application supports re-sharding for Object type,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/pages/ShowAllTypesPage.java,0
Consumer delta application supports re-sharding for Object type,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/pages/HollowExplorerPage.java,0
Consumer delta application supports re-sharding for Object type,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/model/QueryResult.java,0
Consumer delta application supports re-sharding for Object type,hollow-master/hollow-explorer-ui/src/main/java/com/netflix/hollow/explorer/ui/model/TypeKey.java,0
